negatives
"frozenset({'Q13155', 'AndrogenReceptor', 'P46940'})"
"frozenset({'Q9P1Y5', 'Q9P2R3', 'AndrogenReceptor'})"
"frozenset({'P19320', 'AndrogenReceptor', 'Q96HS1'})"
"frozenset({'Q8NFZ5', 'AndrogenReceptor', 'Q9UKG9'})"
"frozenset({'Q9H0W5', 'AndrogenReceptor', 'Q16539'})"
"frozenset({'AndrogenReceptor', 'Q16778', 'Q96QV6'})"
"frozenset({'AndrogenReceptor', 'Q7L273', 'Q9UK80'})"
"frozenset({'P35226', 'AndrogenReceptor', 'Q13085'})"
"frozenset({'P62241', 'AndrogenReceptor', 'Q9GZQ8'})"
"frozenset({'AndrogenReceptor', 'Q9NXK8', 'Q8WUJ0'})"
"frozenset({'P50443', 'O00214', 'AndrogenReceptor'})"
"frozenset({'Q14847', 'P61073', 'AndrogenReceptor'})"
"frozenset({'P63218', 'P48051', 'AndrogenReceptor'})"
"frozenset({'P62244', 'P23396', 'AndrogenReceptor'})"
"frozenset({'P35580', 'AndrogenReceptor', 'Q02045'})"
"frozenset({'Q8TB72', 'AndrogenReceptor', 'P04629'})"
"frozenset({'P18827', 'AndrogenReceptor', 'Q14055'})"
"frozenset({'Q9UBU9', 'Q96BI3', 'AndrogenReceptor'})"
"frozenset({'O00213', 'AndrogenReceptor', 'P36578'})"
"frozenset({'P14921', 'P01375', 'AndrogenReceptor'})"
"frozenset({'Q8N8B7', 'Q08AM6', 'AndrogenReceptor'})"
"frozenset({'Q9NWT1', 'P41218', 'AndrogenReceptor'})"
"frozenset({'P00966', 'AndrogenReceptor', 'Q9Y230'})"
"frozenset({'P42262', 'Q86TI2', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H204', 'O76041'})"
"frozenset({'Q92830', 'AndrogenReceptor', 'Q13617'})"
"frozenset({'Q9H9Z2', 'AndrogenReceptor', 'P07305'})"
"frozenset({'AndrogenReceptor', 'Q9GZR7', 'P06748'})"
"frozenset({'Q9Y3B8', 'Q9BRA2', 'AndrogenReceptor'})"
"frozenset({'P51532', 'AndrogenReceptor', 'Q9UKV0'})"
"frozenset({'P52272', 'AndrogenReceptor', 'O94776'})"
"frozenset({'AndrogenReceptor', 'Q6P1J9', 'Q6S8J3'})"
"frozenset({'Q05397', 'AndrogenReceptor', 'Q92529'})"
"frozenset({'P17040', 'AndrogenReceptor', 'O14978'})"
"frozenset({'Q6ZW49', 'AndrogenReceptor', 'Q9Y295'})"
"frozenset({'AndrogenReceptor', 'O75899', 'P08754'})"
"frozenset({'AndrogenReceptor', 'P12004', 'Q14527'})"
"frozenset({'O00311', 'AndrogenReceptor', 'P50750'})"
"frozenset({'P14923', 'AndrogenReceptor', 'P08034'})"
"frozenset({'AndrogenReceptor', 'O75563', 'P48023'})"
"frozenset({'Q14980', 'P61956', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P12035', 'Q7Z3Y8'})"
"frozenset({'AndrogenReceptor', 'P08631', 'P42684'})"
"frozenset({'P50570', 'Q7L0Q8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q92769', 'Q96LR5'})"
"frozenset({'Q08209', 'P16885', 'AndrogenReceptor'})"
"frozenset({'Q9Y5B9', 'AndrogenReceptor', 'Q86VP6'})"
"frozenset({'AndrogenReceptor', 'Q8IWL3', 'Q9Y3D0'})"
"frozenset({'P14598', 'P04839', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8TEP8', 'Q9HB71'})"
"frozenset({'AndrogenReceptor', 'Q2TAY7', 'Q07955'})"
"frozenset({'P09919', 'AndrogenReceptor', 'P18146'})"
"frozenset({'Q8IUD2', 'Q15154', 'AndrogenReceptor'})"
"frozenset({'Q15906', 'Q15014', 'AndrogenReceptor'})"
"frozenset({'Q7Z478', 'P05412', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q16576', 'Q14207'})"
"frozenset({'AndrogenReceptor', 'P04637', 'Q9Y243'})"
"frozenset({'P21333', 'AndrogenReceptor', 'O14639'})"
"frozenset({'P18124', 'P62891', 'AndrogenReceptor'})"
"frozenset({'Q52LW3', 'AndrogenReceptor', 'O00212'})"
"frozenset({'P22695', 'AndrogenReceptor', 'P09622'})"
"frozenset({'O75364', 'AndrogenReceptor', 'P08603'})"
"frozenset({'O75420', 'Q92993', 'AndrogenReceptor'})"
"frozenset({'Q9BXB4', 'Q15642', 'AndrogenReceptor'})"
"frozenset({'Q13618', 'P61247', 'AndrogenReceptor'})"
"frozenset({'Q8N122', 'O14920', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9P2S5', 'O60925'})"
"frozenset({'P27361', 'AndrogenReceptor', 'Q99759'})"
"frozenset({'AndrogenReceptor', 'P27361', 'P04637'})"
"frozenset({'AndrogenReceptor', 'Q01804', 'Q96JB5'})"
"frozenset({'Q07812', 'P55210', 'AndrogenReceptor'})"
"frozenset({'P84022', 'O14867', 'AndrogenReceptor'})"
"frozenset({'Q8NE63', 'AndrogenReceptor', 'Q8IX01'})"
"frozenset({'Q9NPD3', 'AndrogenReceptor', 'Q8WW01'})"
"frozenset({'O15118', 'Q9H1C4', 'AndrogenReceptor'})"
"frozenset({'P00966', 'AndrogenReceptor', 'P53602'})"
"frozenset({'P31749', 'AndrogenReceptor', 'Q969V5'})"
"frozenset({'Q9GZU8', 'AndrogenReceptor', 'Q04917'})"
"frozenset({'O75934', 'P33992', 'AndrogenReceptor'})"
"frozenset({'Q99496', 'AndrogenReceptor', 'Q96I24'})"
"frozenset({'P31946', 'Q7Z460', 'AndrogenReceptor'})"
"frozenset({'Q9HCE1', 'AndrogenReceptor', 'Q8IWZ3'})"
"frozenset({'AndrogenReceptor', 'Q9BUL9', 'P06748'})"
"frozenset({'P13686', 'P62714', 'AndrogenReceptor'})"
"frozenset({'Q9P2K5', 'AndrogenReceptor', 'O60232'})"
"frozenset({'P11055', 'AndrogenReceptor', 'P19237'})"
"frozenset({'P09497', 'AndrogenReceptor', 'O00443'})"
"frozenset({'Q9Y6Q6', 'P22681', 'AndrogenReceptor'})"
"frozenset({'P08670', 'AndrogenReceptor', 'Q00005'})"
"frozenset({'AndrogenReceptor', 'Q09013', 'P07900'})"
"frozenset({'AndrogenReceptor', 'P18848', 'Q9UNN4'})"
"frozenset({'Q02878', 'AndrogenReceptor', 'Q13601'})"
"frozenset({'AndrogenReceptor', 'Q9NX55', 'Q8IYN0'})"
"frozenset({'Q16576', 'AndrogenReceptor', 'Q15022'})"
"frozenset({'Q15139', 'AndrogenReceptor', 'Q9GZQ8'})"
"frozenset({'Q9BY44', 'AndrogenReceptor', 'P20042'})"
"frozenset({'O60870', 'Q9P2P5', 'AndrogenReceptor'})"
"frozenset({'Q12815', 'Q15691', 'AndrogenReceptor'})"
"frozenset({'P08473', 'AndrogenReceptor', 'P0C0S8'})"
"frozenset({'Q92522', 'AndrogenReceptor', 'Q01968'})"
"frozenset({'AndrogenReceptor', 'Q14781', 'Q15415'})"
"frozenset({'Q12959', 'AndrogenReceptor', 'P04629'})"
"frozenset({'Q9BT25', 'AndrogenReceptor', 'Q8NA72'})"
"frozenset({'Q13620', 'AndrogenReceptor', 'P60484'})"
"frozenset({'O95863', 'AndrogenReceptor', 'O43542'})"
"frozenset({'O75478', 'Q5JSZ5', 'AndrogenReceptor'})"
"frozenset({'P32121', 'AndrogenReceptor', 'P30153'})"
"frozenset({'Q99459', 'Q14789', 'AndrogenReceptor'})"
"frozenset({'P37231', 'AndrogenReceptor', 'P51946'})"
"frozenset({'P78423', 'AndrogenReceptor', 'P46094'})"
"frozenset({'Q9NRR5', 'AndrogenReceptor', 'P04155'})"
"frozenset({'Q96ST3', 'Q8IZD2', 'AndrogenReceptor'})"
"frozenset({'Q9UER7', 'AndrogenReceptor', 'P04637'})"
"frozenset({'Q5QJE6', 'AndrogenReceptor', 'P19793'})"
"frozenset({'P19320', 'P62633', 'AndrogenReceptor'})"
"frozenset({'P56750', 'AndrogenReceptor', 'O75508'})"
"frozenset({'AndrogenReceptor', 'Q969K3', 'Q9Y6K9'})"
"frozenset({'AndrogenReceptor', 'Q9UPY8', 'Q8IUQ4'})"
"frozenset({'AndrogenReceptor', 'Q12947', 'Q9H2G2'})"
"frozenset({'P18206', 'P15822', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P41236', 'P08559'})"
"frozenset({'O14933', 'AndrogenReceptor', 'Q9Y3C5'})"
"frozenset({'P32121', 'AndrogenReceptor', 'P51679'})"
"frozenset({'Q9NRL3', 'Q9Y4P8', 'AndrogenReceptor'})"
"frozenset({'O60664', 'O14732', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NQC7', 'P20749'})"
"frozenset({'Q92830', 'AndrogenReceptor', 'Q9UPT9'})"
"frozenset({'Q9UBI6', 'AndrogenReceptor', 'P08754'})"
"frozenset({'AndrogenReceptor', 'P38936', 'Q9ULV3'})"
"frozenset({'Q9H0R8', 'Q9P2R3', 'AndrogenReceptor'})"
"frozenset({'O15078', 'Q15154', 'AndrogenReceptor'})"
"frozenset({'Q13490', 'AndrogenReceptor', 'Q9P0P0'})"
"frozenset({'Q8WUI4', 'AndrogenReceptor', 'Q8TEH3'})"
"frozenset({'AndrogenReceptor', 'Q5W5X9', 'Q9BRK4'})"
"frozenset({'P38398', 'AndrogenReceptor', 'P36954'})"
"frozenset({'P04049', 'AndrogenReceptor', 'P62834'})"
"frozenset({'Q8N1F7', 'AndrogenReceptor', 'Q96T60'})"
"frozenset({'Q96R45', 'P38405', 'AndrogenReceptor'})"
"frozenset({'P0C7P0', 'Q7Z434', 'AndrogenReceptor'})"
"frozenset({'Q06546', 'Q14145', 'AndrogenReceptor'})"
"frozenset({'P37840', 'AndrogenReceptor', 'P20336'})"
"frozenset({'Q16695', 'Q99496', 'AndrogenReceptor'})"
"frozenset({'Q96FQ6', 'P51688', 'AndrogenReceptor'})"
"frozenset({'Q9NWS6', 'AndrogenReceptor', 'Q9Y275'})"
"frozenset({'P27361', 'AndrogenReceptor', 'P28324'})"
"frozenset({'P55072', 'P43378', 'AndrogenReceptor'})"
"frozenset({'P52292', 'Q9H492', 'AndrogenReceptor'})"
"frozenset({'P25786', 'P60520', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P38484', 'P29350'})"
"frozenset({'P24928', 'AndrogenReceptor', 'Q16531'})"
"frozenset({'Q9UIF7', 'AndrogenReceptor', 'O60921'})"
"frozenset({'O00471', 'AndrogenReceptor', 'O14787'})"
"frozenset({'Q9Y6V7', 'AndrogenReceptor', 'P05412'})"
"frozenset({'Q9HCE7', 'Q99717', 'AndrogenReceptor'})"
"frozenset({'P18124', 'AndrogenReceptor', 'Q99848'})"
"frozenset({'Q13351', 'AndrogenReceptor', 'P68400'})"
"frozenset({'A6NET4', 'P25098', 'AndrogenReceptor'})"
"frozenset({'Q9HCK8', 'AndrogenReceptor', 'P30260'})"
"frozenset({'A6NEM1', 'Q9ULM2', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O43236', 'Q8IUQ4'})"
"frozenset({'Q02930', 'AndrogenReceptor', 'Q3V5L5'})"
"frozenset({'O60245', 'AndrogenReceptor', 'Q9NUL7'})"
"frozenset({'P59768', 'P45983', 'AndrogenReceptor'})"
"frozenset({'Q6IQ49', 'AndrogenReceptor', 'Q13315'})"
"frozenset({'P52888', 'AndrogenReceptor', 'P62256'})"
"frozenset({'P33993', 'AndrogenReceptor', 'Q9UBN7'})"
"frozenset({'Q96A35', 'Q53S58', 'AndrogenReceptor'})"
"frozenset({'Q9NW82', 'AndrogenReceptor', 'P78362'})"
"frozenset({'P09651', 'AndrogenReceptor', 'Q15287'})"
"frozenset({'P32121', 'AndrogenReceptor', 'P52907'})"
"frozenset({'Q9Y5M8', 'O95476', 'AndrogenReceptor'})"
"frozenset({'Q16555', 'P25685', 'AndrogenReceptor'})"
"frozenset({'Q8N1F7', 'AndrogenReceptor', 'P48431'})"
"frozenset({'Q9NWZ3', 'AndrogenReceptor', 'P16401'})"
"frozenset({'AndrogenReceptor', 'Q13315', 'Q12926'})"
"frozenset({'Q9C0C7', 'AndrogenReceptor', 'P43686'})"
"frozenset({'P78334', 'AndrogenReceptor', 'Q9NQX3'})"
"frozenset({'Q15796', 'AndrogenReceptor', 'Q9BX66'})"
"frozenset({'Q8IXK0', 'P67870', 'AndrogenReceptor'})"
"frozenset({'Q9Y2J2', 'O43143', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q99728', 'P20749'})"
"frozenset({'O43309', 'AndrogenReceptor', 'Q9Y2D8'})"
"frozenset({'Q7Z6Z7', 'AndrogenReceptor', 'Q92858'})"
"frozenset({'P42694', 'AndrogenReceptor', 'Q92793'})"
"frozenset({'AndrogenReceptor', 'O14746', 'P48643'})"
"frozenset({'Q9NQX4', 'AndrogenReceptor', 'Q9Y6K9'})"
"frozenset({'Q14999', 'P55795', 'AndrogenReceptor'})"
"frozenset({'O75153', 'O75161', 'AndrogenReceptor'})"
"frozenset({'Q15796', 'P35813', 'AndrogenReceptor'})"
"frozenset({'Q9Y6N6', 'AndrogenReceptor', 'P01011'})"
"frozenset({'AndrogenReceptor', 'Q99496', 'P52756'})"
"frozenset({'Q03181', 'AndrogenReceptor', 'P07900'})"
"frozenset({'Q9UER7', 'AndrogenReceptor', 'P35250'})"
"frozenset({'P52272', 'P60033', 'AndrogenReceptor'})"
"frozenset({'Q9HCC0', 'Q9H492', 'AndrogenReceptor'})"
"frozenset({'Q9NRI5', 'AndrogenReceptor', 'O14578'})"
"frozenset({'P32121', 'Q9H6F2', 'AndrogenReceptor'})"
"frozenset({'P61758', 'AndrogenReceptor', 'P41252'})"
"frozenset({'AndrogenReceptor', 'Q16539', 'Q99956'})"
"frozenset({'Q6P1W5', 'AndrogenReceptor', 'O14964'})"
"frozenset({'O15144', 'AndrogenReceptor', 'P62140'})"
"frozenset({'P98095', 'Q00610', 'AndrogenReceptor'})"
"frozenset({'Q00839', 'AndrogenReceptor', 'Q9Y221'})"
"frozenset({'AndrogenReceptor', 'P61163', 'Q99460'})"
"frozenset({'P25786', 'AndrogenReceptor', 'Q92530'})"
"frozenset({'O95757', 'AndrogenReceptor', 'P37802'})"
"frozenset({'Q7Z5H3', 'AndrogenReceptor', 'P62745'})"
"frozenset({'Q02878', 'AndrogenReceptor', 'Q14978'})"
"frozenset({'Q96DB2', 'AndrogenReceptor', 'Q5BKZ1'})"
"frozenset({'Q9BZE1', 'Q9H9S0', 'AndrogenReceptor'})"
"frozenset({'Q92731', 'O75369', 'AndrogenReceptor'})"
"frozenset({'P55196', 'AndrogenReceptor', 'P62993'})"
"frozenset({'Q9HAV4', 'AndrogenReceptor', 'Q14164'})"
"frozenset({'O14980', 'AndrogenReceptor', 'Q9UKA2'})"
"frozenset({'Q5VVX9', 'Q9ULK6', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q01664', 'Q969G3'})"
"frozenset({'Q8N3C0', 'AndrogenReceptor', 'P12757'})"
"frozenset({'Q8IX18', 'AndrogenReceptor', 'O43586'})"
"frozenset({'P82979', 'AndrogenReceptor', 'Q92733'})"
"frozenset({'O75469', 'AndrogenReceptor', 'O95071'})"
"frozenset({'Q15323', 'AndrogenReceptor', 'O14964'})"
"frozenset({'Q12889', 'O43374', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q01105', 'P16455'})"
"frozenset({'Q07812', 'AndrogenReceptor', 'Q9NR28'})"
"frozenset({'AndrogenReceptor', 'P01889', 'Q96CS3'})"
"frozenset({'Q6NUN9', 'O75489', 'AndrogenReceptor'})"
"frozenset({'O75781', 'Q16643', 'AndrogenReceptor'})"
"frozenset({'Q01860', 'AndrogenReceptor', 'Q7Z7K2'})"
"frozenset({'Q92905', 'AndrogenReceptor', 'Q7Z2T5'})"
"frozenset({'AndrogenReceptor', 'Q92731', 'Q9UKX3'})"
"frozenset({'AndrogenReceptor', 'Q4VCS5', 'Q93008'})"
"frozenset({'AndrogenReceptor', 'Q8WVR3', 'P21549'})"
"frozenset({'Q13948', 'P43363', 'AndrogenReceptor'})"
"frozenset({'O60739', 'AndrogenReceptor', 'Q01469'})"
"frozenset({'AndrogenReceptor', 'Q9Y277', 'P43360'})"
"frozenset({'AndrogenReceptor', 'Q9Y2R9', 'O60260'})"
"frozenset({'Q13469', 'AndrogenReceptor', 'P49959'})"
"frozenset({'P17480', 'AndrogenReceptor', 'Q9NPF5'})"
"frozenset({'P49736', 'Q9UL18', 'AndrogenReceptor'})"
"frozenset({'Q96FV9', 'AndrogenReceptor', 'Q9BYV2'})"
"frozenset({'Q14966', 'Q15834', 'AndrogenReceptor'})"
"frozenset({'P04049', 'P63167', 'AndrogenReceptor'})"
"frozenset({'Q07627', 'P82987', 'AndrogenReceptor'})"
"frozenset({'Q13535', 'P42771', 'AndrogenReceptor'})"
"frozenset({'P01106', 'AndrogenReceptor', 'O95816'})"
"frozenset({'P13716', 'P52594', 'AndrogenReceptor'})"
"frozenset({'Q96KP6', 'P43356', 'AndrogenReceptor'})"
"frozenset({'P0DMV8', 'AndrogenReceptor', 'Q13617'})"
"frozenset({'O43889', 'AndrogenReceptor', 'Q96CM8'})"
"frozenset({'Q8N3E9', 'Q96FV0', 'AndrogenReceptor'})"
"frozenset({'O14980', 'AndrogenReceptor', 'Q8N2Y8'})"
"frozenset({'P42694', 'Q3KNV8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P61218', 'Q6V1P9'})"
"frozenset({'Q8N9Z2', 'AndrogenReceptor', 'P83916'})"
"frozenset({'Q13283', 'AndrogenReceptor', 'P68400'})"
"frozenset({'P01009', 'P51124', 'AndrogenReceptor'})"
"frozenset({'Q13618', 'AndrogenReceptor', 'Q96IK5'})"
"frozenset({'P98177', 'AndrogenReceptor', 'Q8WTS6'})"
"frozenset({'Q9Y5S9', 'AndrogenReceptor', 'P07237'})"
"frozenset({'Q01081', 'AndrogenReceptor', 'P11940'})"
"frozenset({'P46060', 'AndrogenReceptor', 'Q13043'})"
"frozenset({'AndrogenReceptor', 'P62081', 'P63104'})"
"frozenset({'P67809', 'AndrogenReceptor', 'Q2TAY7'})"
"frozenset({'Q68CP9', 'Q8TAQ2', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O94903', 'P04632'})"
"frozenset({'AndrogenReceptor', 'P20618', 'P22626'})"
"frozenset({'Q92905', 'P40763', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q10570', 'Q7L5N1'})"
"frozenset({'Q96IX5', 'AndrogenReceptor', 'Q96FW1'})"
"frozenset({'Q6ZU80', 'Q96DN5', 'AndrogenReceptor'})"
"frozenset({'P0C7T5', 'AndrogenReceptor', 'Q8IX01'})"
"frozenset({'Q96FA3', 'AndrogenReceptor', 'Q9UHD2'})"
"frozenset({'AndrogenReceptor', 'P61313', 'P46783'})"
"frozenset({'AndrogenReceptor', 'Q9H4E7', 'Q08881'})"
"frozenset({'P07951', 'P05455', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O60282', 'Q13616'})"
"frozenset({'AndrogenReceptor', 'P39210', 'Q9UHA4'})"
"frozenset({'Q13114', 'AndrogenReceptor', 'Q01538'})"
"frozenset({'AndrogenReceptor', 'P01889', 'Q9Y230'})"
"frozenset({'AndrogenReceptor', 'P62753', 'Q9BZM1'})"
"frozenset({'O95376', 'AndrogenReceptor', 'A4D1P6'})"
"frozenset({'AndrogenReceptor', 'P17301', 'P24043'})"
"frozenset({'P62873', 'Q9H346', 'AndrogenReceptor'})"
"frozenset({'Q96S21', 'Q15369', 'AndrogenReceptor'})"
"frozenset({'Q9BWU1', 'O00303', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q5JTJ3', 'P18859'})"
"frozenset({'P28074', 'AndrogenReceptor', 'P30101'})"
"frozenset({'AndrogenReceptor', 'P05388', 'Q9Y6K9'})"
"frozenset({'O95425', 'AndrogenReceptor', 'Q15058'})"
"frozenset({'AndrogenReceptor', 'Q4VC12', 'P0CG20'})"
"frozenset({'O95168', 'AndrogenReceptor', 'Q9Y3E0'})"
"frozenset({'Q9NYB9', 'AndrogenReceptor', 'Q8NB15'})"
"frozenset({'AndrogenReceptor', 'P40222', 'P30101'})"
"frozenset({'P08588', 'P63096', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H2F5', 'Q9NPF5'})"
"frozenset({'AndrogenReceptor', 'Q04695', 'O60341'})"
"frozenset({'O43809', 'AndrogenReceptor', 'O95400'})"
"frozenset({'Q15436', 'P49721', 'AndrogenReceptor'})"
"frozenset({'Q9UNI1', 'P19957', 'AndrogenReceptor'})"
"frozenset({'O60841', 'Q01860', 'AndrogenReceptor'})"
"frozenset({'Q9BRA0', 'AndrogenReceptor', 'Q9UK45'})"
"frozenset({'O00567', 'AndrogenReceptor', 'Q9BVJ6'})"
"frozenset({'Q7L5Y9', 'P13385', 'AndrogenReceptor'})"
"frozenset({'Q13635', 'P11021', 'AndrogenReceptor'})"
"frozenset({'P63244', 'P51659', 'AndrogenReceptor'})"
"frozenset({'Q9H2C0', 'O75037', 'AndrogenReceptor'})"
"frozenset({'Q9Y2X3', 'AndrogenReceptor', 'P62701'})"
"frozenset({'P25787', 'Q70EL4', 'AndrogenReceptor'})"
"frozenset({'Q8NGS5', 'O60262', 'AndrogenReceptor'})"
"frozenset({'Q9UJV9', 'AndrogenReceptor', 'P55265'})"
"frozenset({'Q9H3P2', 'AndrogenReceptor', 'Q15560'})"
"frozenset({'AndrogenReceptor', 'Q9H9B1', 'Q99549'})"
"frozenset({'P42566', 'AndrogenReceptor', 'P09497'})"
"frozenset({'Q15796', 'P21980', 'AndrogenReceptor'})"
"frozenset({'P38646', 'O60884', 'AndrogenReceptor'})"
"frozenset({'O15479', 'AndrogenReceptor', 'P31947'})"
"frozenset({'P61244', 'Q9UJ14', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P54274', 'P26038'})"
"frozenset({'Q9UBQ0', 'AndrogenReceptor', 'Q9UBQ7'})"
"frozenset({'Q13310', 'Q9H074', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NV96', 'Q9BQE5'})"
"frozenset({'P22676', 'AndrogenReceptor', 'Q9NVR5'})"
"frozenset({'Q15323', 'Q9NSB4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q7Z6Z7', 'P39019'})"
"frozenset({'P22695', 'Q14318', 'AndrogenReceptor'})"
"frozenset({'Q9P0J0', 'AndrogenReceptor', 'P49821'})"
"frozenset({'Q9UI14', 'AndrogenReceptor', 'Q15036'})"
"frozenset({'Q8TAE8', 'Q8IVT5', 'AndrogenReceptor'})"
"frozenset({'O75496', 'AndrogenReceptor', 'P68400'})"
"frozenset({'AndrogenReceptor', 'Q9NPJ6', 'O43324'})"
"frozenset({'AndrogenReceptor', 'Q96FL9', 'Q8TAX7'})"
"frozenset({'O75147', 'AndrogenReceptor', 'Q6P2E9'})"
"frozenset({'P23508', 'AndrogenReceptor', 'P60900'})"
"frozenset({'P09651', 'AndrogenReceptor', 'Q9C0J8'})"
"frozenset({'O00744', 'AndrogenReceptor', 'Q14332'})"
"frozenset({'Q9H0R8', 'Q13283', 'AndrogenReceptor'})"
"frozenset({'Q96PK6', 'AndrogenReceptor', 'O76021'})"
"frozenset({'P12081', 'AndrogenReceptor', 'Q9Y4K3'})"
"frozenset({'Q9H307', 'Q9P127', 'AndrogenReceptor'})"
"frozenset({'P05067', 'O43402', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9NVA2', 'Q96B97'})"
"frozenset({'Q99750', 'Q9NRN7', 'AndrogenReceptor'})"
"frozenset({'Q9BRT9', 'AndrogenReceptor', 'Q14657'})"
"frozenset({'O60684', 'AndrogenReceptor', 'Q9BUI4'})"
"frozenset({'P0DJH9', 'AndrogenReceptor', 'Q9P2S5'})"
"frozenset({'P08620', 'Q02763', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P47897', 'Q9UQL6'})"
"frozenset({'Q96QZ7', 'AndrogenReceptor', 'Q9UHB6'})"
"frozenset({'P42126', 'AndrogenReceptor', 'Q01469'})"
"frozenset({'Q9NWT1', 'Q13153', 'AndrogenReceptor'})"
"frozenset({'Q14416', 'AndrogenReceptor', 'Q9UMX0'})"
"frozenset({'P17096', 'AndrogenReceptor', 'Q15366'})"
"frozenset({'Q9BT25', 'Q96ST8', 'AndrogenReceptor'})"
"frozenset({'O95273', 'AndrogenReceptor', 'P41235'})"
"frozenset({'P61978', 'AndrogenReceptor', 'Q13148'})"
"frozenset({'P46777', 'Q9NVX0', 'AndrogenReceptor'})"
"frozenset({'O94868', 'AndrogenReceptor', 'O76094'})"
"frozenset({'AndrogenReceptor', 'P55157', 'Q7Z494'})"
"frozenset({'P67809', 'AndrogenReceptor', 'P55795'})"
"frozenset({'AndrogenReceptor', 'Q9BYZ2', 'Q9UJ70'})"
"frozenset({'Q96MK2', 'Q86Z20', 'AndrogenReceptor'})"
"frozenset({'Q9BYG3', 'AndrogenReceptor', 'O76021'})"
"frozenset({'AndrogenReceptor', 'P21333', 'P22694'})"
"frozenset({'Q9Y261', 'AndrogenReceptor', 'P04155'})"
"frozenset({'Q92614', 'O14974', 'AndrogenReceptor'})"
"frozenset({'Q9Y4R8', 'P00533', 'AndrogenReceptor'})"
"frozenset({'Q9UNA3', 'O14732', 'AndrogenReceptor'})"
"frozenset({'P05141', 'AndrogenReceptor', 'Q86VP6'})"
"frozenset({'P04049', 'AndrogenReceptor', 'O43353'})"
"frozenset({'AndrogenReceptor', 'Q92793', 'Q03060'})"
"frozenset({'Q8NI27', 'Q9NYF8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P62987', 'Q13191'})"
"frozenset({'AndrogenReceptor', 'Q02880', 'P10276'})"
"frozenset({'P08670', 'AndrogenReceptor', 'Q9UQ35'})"
"frozenset({'P00519', 'AndrogenReceptor', 'Q8N488'})"
"frozenset({'AndrogenReceptor', 'Q16594', 'Q9Y265'})"
"frozenset({'Q9C005', 'AndrogenReceptor', 'Q5QNW6'})"
"frozenset({'Q8NHV4', 'AndrogenReceptor', 'P30084'})"
"frozenset({'Q9NPE2', 'AndrogenReceptor', 'Q9UGI9'})"
"frozenset({'Q96J01', 'Q9NYF8', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P54727', 'P48431'})"
"frozenset({'Q5H9J7', 'O95363', 'AndrogenReceptor'})"
"frozenset({'O15379', 'P05412', 'AndrogenReceptor'})"
"frozenset({'P81274', 'P98175', 'AndrogenReceptor'})"
"frozenset({'O15078', 'AndrogenReceptor', 'Q6ZTW0'})"
"frozenset({'Q92625', 'P29322', 'AndrogenReceptor'})"
"frozenset({'P19525', 'AndrogenReceptor', 'P36873'})"
"frozenset({'AndrogenReceptor', 'P31025', 'Q13043'})"
"frozenset({'Q92831', 'Q9Y6A5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q16821', 'Q9NWS0'})"
"frozenset({'O43825', 'AndrogenReceptor', 'O94822'})"
"frozenset({'Q6ZUT1', 'Q9UGU5', 'AndrogenReceptor'})"
"frozenset({'O00410', 'AndrogenReceptor', 'Q53GQ0'})"
"frozenset({'P02545', 'AndrogenReceptor', 'Q9Y615'})"
"frozenset({'Q9NRI5', 'AndrogenReceptor', 'Q9Y2D1'})"
"frozenset({'Q8WTW4', 'Q12980', 'AndrogenReceptor'})"
"frozenset({'P42858', 'AndrogenReceptor', 'Q13501'})"
"frozenset({'Q9H0R8', 'Q2M2I5', 'AndrogenReceptor'})"
